English	Dutch	French	German	Italian	Spanish	Chinese	Russian	Arabic	Hebrew	Persian
israel	israël	Israël	israel	Israele	israel	以色列	Израиль	إسرائيل	ישראל	اسرائيل
israeli	israëlisch	israélien	israelisch	israeliano	israelí	以色列	израиль	إسرائيلي	ישראלי	اسرائیلی
palestine	palestina	Palestine	palästina	Palestina	palestina	巴勒斯坦	палестина	فلسطين	פלסטין	فلسطین
palestinian	palestijns	palestinien	palästinensisch	palestinese	palestina	巴勒斯坦	палестина	فلسطيني	פלסטיני	فلسطینی
arab	arabisch	arabe	arabisch	arabo	árabe	阿拉伯人	араб	عربي	ערבי	عربی
gaza	gaza	gaza	gaza	gaza	gaza	加沙	газа	غزة	עזה	غزه
intifada	intifada	intifada	Intifada	intifada	intifada	起义	интифада	الانتفاضة	אנטיפדה	انتفاضه
jewish	joods	juif	Jüdisch	ebraico	judío	犹太	еврей	يهودي	יהודי	یهودی
zionism	zionisme	sionisme	Zionismus	sionismo	sionismo	犹太复国主义	сионизм	صهيونية	ציונות	صهیونیسم
hamas	hamas	hamas	hamas	hamas	hamas	哈马斯	хамас	حماس	חמאס	حماس
